,TransactionID,UserID,AccountID,TransactionType,TransactionAmt,Merchant,Category,Channel,CustomerAge,CustomerOccupation,IncomeBracket,PreferredSpendingCategory,RiskProfile,CreditScore,LoanEligibilityScore,CustomerTenure,MostInterestedProduct,AvgMonthlySpend,isFraud,TransactionYear,TransactionMonth,TransactionDay
0,1,U001,ACC10000,Debit,29,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
1,2,U001,ACC10000,Debit,59,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
2,3,U001,ACC10000,Debit,50,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
3,4,U001,ACC10000,Debit,49,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
4,5,U001,ACC10000,Debit,15,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
5,6,U001,ACC10000,Debit,16.495,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
6,7,U001,ACC10000,Debit,50,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
7,8,U001,ACC10000,Debit,57.95,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
8,9,U001,ACC10000,Debit,30,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
9,10,U001,ACC10000,Debit,47.95,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
10,11,U001,ACC10000,Debit,186,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
11,12,U001,ACC10000,Debit,39,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,1
12,13,U001,ACC10000,Debit,65,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
13,14,U001,ACC10000,Debit,200,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
14,15,U001,ACC10000,Debit,200,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
15,16,U001,ACC10000,Debit,29,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
16,17,U001,ACC10000,Debit,97,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
17,18,U001,ACC10000,Debit,57.95,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
18,19,U001,ACC10000,Debit,50,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
19,20,U001,ACC10000,Debit,200,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
20,21,U001,ACC10000,Debit,100,PharmaStore,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,12
21,22,U001,ACC10000,Debit,597.94,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
22,23,U001,ACC10000,Debit,51.357,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
23,24,U001,ACC10000,Debit,87,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
24,25,U001,ACC10000,Debit,75,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
25,26,U001,ACC10000,Debit,47.95,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
26,27,U001,ACC10000,Debit,57.95,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
27,28,U001,ACC10000,Debit,25.95,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
28,29,U001,ACC10000,Debit,209.95,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
29,30,U001,ACC10000,Debit,47.95,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
30,31,U001,ACC10000,Debit,117,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
31,32,U001,ACC10000,Debit,49,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,16
32,33,U001,ACC10000,Debit,100,ElectroWorld,Electronics,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,1,2024,1,16
33,34,U001,ACC10000,Debit,422.5,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
34,35,U001,ACC10000,Debit,330.99,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
35,36,U001,ACC10000,Debit,100,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
36,37,U001,ACC10000,Debit,30.089,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
37,38,U001,ACC10000,Debit,67.95,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
38,39,U001,ACC10000,Debit,59,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
39,40,U001,ACC10000,Debit,25.95,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
40,41,U001,ACC10000,Debit,209.95,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
41,42,U001,ACC10000,Debit,50,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
42,43,U001,ACC10000,Debit,12.97,QuickBuy,Groceries,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,17
43,44,U001,ACC10000,Credit,50,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,19
44,45,U001,ACC10000,Credit,70,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,19
45,46,U001,ACC10000,Credit,87,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,19
46,47,U001,ACC10000,Credit,30,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,19
47,48,U001,ACC10000,Credit,317.5,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,19
48,49,U001,ACC10000,Credit,117,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,19
49,50,U001,ACC10000,Debit,70,HealthPlus,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,20
50,51,U001,ACC10000,Debit,523.28,HealthPlus,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,20
51,52,U001,ACC10000,Debit,109,HealthPlus,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,20
52,53,U001,ACC10000,Debit,50,HealthPlus,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,20
53,54,U001,ACC10000,Debit,100,HealthPlus,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,20
54,55,U001,ACC10000,Debit,554,HealthPlus,Healthcare,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,117.376567,0,2024,1,20
