account_id,account_owner,amount,authorized_date,authorized_datetime,category,category_id,check_number,counterparties,date,datetime,iso_currency_code,logo_url,merchant_entity_id,merchant_name,name,payment_channel,pending,pending_transaction_id,personal_finance_category_icon_url,transaction_code,transaction_id,transaction_type,unofficial_currency_code,website,item_id,institution_id,location.address,location.city,location.region,location.postal_code,location.country,location.lat,location.lon,location.store_number,payment_meta.reference_number,payment_meta.ppd_id,payment_meta.payee,payment_meta.by_order_of,payment_meta.payer,payment_meta.payment_method,payment_meta.payment_processor,payment_meta.reason,personal_finance_category.confidence_level,personal_finance_category.detailed,personal_finance_category.primary
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,12.99,2024-12-31,,,,,"[{'name': 'Amazon Prime Video', 'type': 'merchant', 'website': 'primevideo.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/amazon_prime_video_47.png', 'confidence_level': 'VERY_HIGH', 'entity_id': 'O4L6j76bqmBv8vN2W2mdnmVYd7R30gDyvRdBy', 'phone_number': None}]",2024-12-31,,GBP,https://plaid-merchant-logos.plaid.com/amazon_prime_video_47.png,O4L6j76bqmBv8vN2W2mdnmVYd7R30gDyvRdBy,Amazon Prime Video,Amazon Prime,online,False,,https://plaid-category-icons.plaid.com/PFC_ENTERTAINMENT.png,,axzwjj8VJGfdPABqX3n5Tdk8LWqBAWtZKpn8a,place,,primevideo.com,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,Seattle,WA,,,,,,,,,,,,,,UNKNOWN,ENTERTAINMENT_TV_AND_MOVIES,ENTERTAINMENT
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,-3000.0,2024-12-31,,,,,[],2024-12-31,,GBP,,,,Direct Deposit,other,False,,https://plaid-category-icons.plaid.com/PFC_INCOME.png,,qgL7nnGV5oToDwLrBa9NhE5J8Bb1VBHgy8xnJ,special,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,INCOME_WAGES,INCOME
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,16.0,2024-12-31,,,,,[],2024-12-31,,GBP,,,,FOREIGN CURRENCY CONVERSION FEE,other,False,,https://plaid-category-icons.plaid.com/PFC_BANK_FEES.png,,GLe711gPb6uMG9yLmPreT3Gmer4oMrH67Jwbr,special,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,BANK_FEES_FOREIGN_TRANSACTION_FEES,BANK_FEES
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,61.0,2024-12-31,,,,,"[{'name': 'Primark', 'type': 'merchant', 'website': 'primark.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/primark_1616.png', 'confidence_level': 'VERY_HIGH', 'entity_id': 'OD9LOJ7XKWY2bWYaEyVqao4Rov1ma8wovzjQW', 'phone_number': None}]",2024-12-31,,GBP,https://plaid-merchant-logos.plaid.com/primark_1616.png,OD9LOJ7XKWY2bWYaEyVqao4Rov1ma8wovzjQW,Primark,PRIMARK,in store,False,,https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,,LEL188rZGwCKan3kJmdLUaePvd6GAdIkWgBRw,place,,primark.com,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,GENERAL_MERCHANDISE
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,98.0,2024-12-31,,,,,[],2024-12-31,,GBP,,,,RENT,in store,False,,https://plaid-category-icons.plaid.com/PFC_RENT_AND_UTILITIES.png,,8Bl5zzdG4PcrBJjKp8Wltb8W1vz9kvfWJv5GL,special,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,RENT_AND_UTILITIES_RENT,RENT_AND_UTILITIES
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,-1200.0,2024-12-31,,,,,"[{'name': 'Uber', 'type': 'merchant', 'website': 'uber.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/uber_1060.png', 'confidence_level': 'VERY_HIGH', 'entity_id': 'eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd', 'phone_number': None}]",2024-12-31,,GBP,https://plaid-merchant-logos.plaid.com/uber_1060.png,eyg8o776k0QmNgVpAmaQj4WgzW9Qzo6O51gdd,Uber,UBER INCOME - PAYROLL,other,False,,https://plaid-category-icons.plaid.com/PFC_INCOME.png,,r8pebbGVXotZbEpzkNK7cQX74gxEPgU7kLmE7,special,,uber.com,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,INCOME_WAGES,INCOME
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,19.0,2024-12-31,,,,,"[{'name': 'Walmart', 'type': 'merchant', 'website': 'walmart.com', 'logo_url': 'https://plaid-merchant-logos.plaid.com/walmart_1100.png', 'confidence_level': 'VERY_HIGH', 'entity_id': 'O5W5j4dN9OR3E6ypQmjdkWZZRoXEzVMz2ByWM', 'phone_number': None}]",2024-12-31,,GBP,https://plaid-merchant-logos.plaid.com/walmart_1100.png,O5W5j4dN9OR3E6ypQmjdkWZZRoXEzVMz2ByWM,Walmart,Walmart,in store,False,,https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,,1XbvnnqprBFo3eKRGJaQhA6BKrVQmrCpPbVx4,special,,walmart.com,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,GENERAL_MERCHANDISE_SUPERSTORES,GENERAL_MERCHANDISE
po1jGGyVbmUk1VnK7WPRSyqeoAQ1B9TpVVBAE,,500.0,,,,,,"[{'name': 'Burberry', 'type': 'merchant', 'website': None, 'logo_url': None, 'confidence_level': 'VERY_HIGH', 'entity_id': None, 'phone_number': None}]",2024-12-30,,GBP,,,Burberry,Burberry,in store,False,,https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,,6rRVKK3WJ4uAwbVomkp8IwKEEwEQwAt8PjnL4,place,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,GENERAL_MERCHANDISE
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,1073.0,2024-12-30,,,,,"[{'name': 'Kensington Mortgage Company', 'type': 'merchant', 'website': None, 'logo_url': None, 'confidence_level': 'VERY_HIGH', 'entity_id': None, 'phone_number': None}]",2024-12-30,,GBP,,,Kensington Mortgage Company,Kensington Mortgage Company,online,False,,https://plaid-category-icons.plaid.com/PFC_LOAN_PAYMENTS.png,,lMea88GVgoIDwELP6AW9t4NxQ1qVw1Cpm1Njg,place,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,LOAN_PAYMENTS_MORTGAGE_PAYMENT,LOAN_PAYMENTS
1XbvnnqprBFo3eKRGJaQhA6n9MDqE1Hpee4Ap,,31.0,2024-12-30,,,,,"[{'name': 'Nail Co', 'type': 'merchant', 'website': None, 'logo_url': None, 'confidence_level': 'VERY_HIGH', 'entity_id': None, 'phone_number': None}]",2024-12-30,,GBP,,,Nail Co,Nail Co,in store,False,,https://plaid-category-icons.plaid.com/PFC_PERSONAL_CARE.png,,1XbvnnqprBFo3eKRGJaQhA6BKrVQmrCpPbVB4,place,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,PERSONAL_CARE_HAIR_AND_BEAUTY,PERSONAL_CARE
po1jGGyVbmUk1VnK7WPRSyqeoAQ1B9TpVVBAE,,2078.5,,,,,,[],2024-12-29,,GBP,,,,AUTOMATIC PAYMENT - THANK,in store,False,,https://plaid-category-icons.plaid.com/PFC_GENERAL_MERCHANDISE.png,,VRbnKKjAomiP4AJW1dMnfKq99K9NKbt9ZbNee,special,,,3ly6mmrgVxf1zdlkgJo8HJkZAwLJK5fqQpmvo,ins_118509,,,,,,,,,,,,,,,,,UNKNOWN,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,GENERAL_MERCHANDISE
